"","Binomial","Common.Name","Species.Status","Domesticated","Class","Order","Family","Mass.g","Mass.Method","Mass.Method.Reliability","Mass.Notes","Mass.Reference","Diet.Graminoids","Diet.Browse.Fruit","Diet.Meat","Guild.only.Herbivory","Guild.w.Omnivory","Diet.Method","Diet.Method.Reliability","Diet.Notes","Diet.Reference","Fermentation.Type","Fermentation.Efficiency","Fermentation.Type.Method","Fermentation.Type.Method.Reliability","Fermentation.Type.Notes","Fermentation.Type.Reference","Limb.Morphology","Limb.Morphology.Method","Limb.Morphology.Method.Reliability","Limb.Morphology.Notes","Limb.Morphology.Reference","Habitat.Aquatic","Habitat.Terrestrial","Habitat.Arboreal","Habitat.Categorical","Habitat.Method","Habitat.Method.Reliability","Habitat.Notes","Habitat.Reference"
"257","Macaca sylvanus","Barbary Macaque","Extant",0,"Mammalia","Primates","Cercopithecidae",12200,"Extant species (method unknown, presume measured)",0,"","Fooden 2007 Fieldiana Zoology",0,3,2,"Browser","Omnivore","Observed fecal analysis; Observed foraging",3,"Omnivorous diet of diverse plants, consuming seeds, fruits, seedlngs, leaves, bark, gum, stems, roots, bulbs, and corms. They also consume fungi, lichens, mosses, and animals. While primarily insectivorous, they will catch birds and small mammals.","Wilson and Mittermeier 2013 Handbook of the Mammals of the World; Kingdon et al. 2013 Mammals of Africa","Hindgut Colon",1,"Inferred from Subfamily",2,"All primate species except colobins have hindgut fermentation systems, with most (especially larger-bodied families) using the colon as the site of fermentation. Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology","Plantigrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,1,"Semi.Arboreal","Observed habitat use",3,"This species lives in a variety of forests in their Mediterranean climate, consisting of cedar (Cedrus), fir (Abies), and oaks, as well as scrub and rocky escarpments and cliffs. Semi-arboreal in habit.","Wilson and Mittermeier 2013 Handbook of the Mammals of the World"
"258","Macaca thibetana","Tibetan Macaque","Extant",0,"Mammalia","Primates","Cercopithecidae",12000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",0,3,2,"Browser","Omnivore","Observed foraging",3,"Diet is primarily leaves, fruits, and some flowers, roots, and insects","Wilson and Mittermeier 2013 Handbook of the Mammals of the World","Hindgut Colon",1,"Inferred from Subfamily",2,"All primate species except colobins have hindgut fermentation systems, with most (especially larger-bodied families) using the colon as the site of fermentation. Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica; Lambert 1998 Evolutionary Anthropology","Plantigrade","Observed Genus",3,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Observed habitat use",3,"This species dwells in a variety of forests from 600 - 2500 m. They are tolerant of human disturbance and are often provisioned. Semi arboreal in habit.","Wilson and Mittermeier 2013 Handbook of the Mammals of the World"
"259","Macrauchenia patachonica","Macrauchenia","Extinct before 1500 CE",0,"Mammalia","Litopterna","Macrauchenidae",794405.1,"Proxy allometric relationship (M1 length)",2,"","Wilson et al. 2012 Paleobiology",3,2,0,"Mixed Feeder","Mixed Feeder","Functional craniodental morphology; Proxy dental wear (microwear, occlusal enamel index); Proxy isotopes (C13)",2,"According to MacFadden and Shockey they were mixed feeders. Franca et al. 2015 Earth Science Reviews suggests that they may have been more of a browser, but definitely not a pure browser. However, dental (enamel) microwear indicates that they were grazers (de Oliveira et al. 2020 Quaternary Science Reviews). This also takes into account calibration for latitude of isotopic data, suggesting that they primarily consumed C3 grasses. Given that this is still debatable, but the most rigorous evidence is provided by de Oliveira et al., we will mark this species as a mixed feeder preferring graze","MacFadden and Shockey 1997 Paleobiology; Franca et al. 2015 Earth Science Reviews; de Oliveira et al. 2020 Quaternary Science Reviews","Hindgut Colon",1,"Functional craniodental morphology; Inferred from Infraclass",0,"Smith et al. (2010 Nature Geosciences) classify this group as foregut fermenters, without a reference. Cassini et al (2012) argued based on occlusal surface area that litopterns were hindgut fermenters. However, Madden (2014) concluded that the masticatory muscle mass was more similar to foregut fermenters. Forasiepe et al. (2016) was unable to replicate Madden's analytic results and argues that based on the pleisiomorphy (e.g. ancestral state) of hindgut fermentation in ungulates hindgut fermentation is the most plausible condition. We will follow Forasiepe et al. 2016, acknowledging zero certainty.","Forasiepe et al. 2016 Bulletin of the American Museum of Natural History; Cassini et al 2012 Early Miocene Paleobiology in Patagonia/Vizcaino; Madden 2014 Hypsodonty in Mammals: Evolution, Geomorphology, and the Role of Earth System Processes; Shockey 2001 Acta Palaeontologica Polonica","Unguligrade","Inferred from Family",2,"","Morosi and Ubilla 2017 Historical Biology; Vizcaino et al. 2009 Revista de la Asociacion Geologica Argentina",0,1,0,"Terrestrial","Inferred from absence of evidence; Inferred from habitat association (proxy isotopes C13, N15); Inferred from vegetation association (pollen analysis)",2,"Isotopes indicate mixed habitats, and temperate/subtropical climates. No indication of aquatic habitat use.","Franca et al. 2015 Earth Science Reviews; de Oliveira et al. 2020 Quaternary Science Reviews"
"260","Macropus agilis","Agile Wallaby","Extant",0,"Mammalia","Diprotodontia","Macropodidae",15000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Listed by Arman and Prideaux (2015) as a grazer, though they counted forb-consumption as grazing. Listed by Johnson and Prideaux 2004 as a grazer as well. Stirrat 2001 reports that agile wallabies primarily consume forbs (70-80%) until forage quality collapses during the dry season, at which time they consume shrubs, nuts, roots, and leaf litter. Grasses only provided <20% of diet. However, experimental offerings indicated that agile wallabies prefer grasses. According to Wilson and Mittermeier, this species is a generalist, feeding on herbaceous vegetation with preference for grasses and legumes. Particularly attacted to grass regeneration in post-burn areas. In the dry season, agile wallabies consume browse, fallen and fresh fruit, flowers, seed pods and seeds, leaf litter, and bark and will dig up to 30cm in depth to access underground plant parts. Individuals drink daily during the dry season.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Arman and Prideaux 2015 Austral Ecology; Johnson and Prideaux 2004 Austral Ecology; Stirrat 2002 Wildlife Research","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species lives in monsoonal grasslands and savanna woodlands. Takes shelter in dense debris or vegetation. This species drinks daily and is sensitive to food and water scarcity during dry season. Terrestrial in habit. Agile wallabies have been recorded digging wells to groundwater (~0.15m in depth), likely to avoid predation by crocodiles on riverbanks (Doody et al. 2007).","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Doody et al. 2007 Ethology"
"261","Macropus antilopinus","Antilopine Wallaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",27250,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Expert Opinion; Observed low sample size (1-5) foraging",1,"Little empirical information found. Wilson and Mittermeier describe this species as a grazer who consume only a small amount of forbs.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species lives in monsoonal forests and with grassy understoreys. They require surface-water and prefer areas following burns. Primarily nocturnal and no evidence of arboreality.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"262","Macropus bernardus","Black Wallaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",17000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Proxy isotopes (C13)",3,"Telfer and Bowman find mixed feeding in this species, with grass consumption ~60% on average. They tend to consume more grasses in wet season, or following burns, and rock-specialist forbs and shrubs during the dry season.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Telfer and Bowman 2006 Austral Ecology","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species has a restricted distribution and is found in difficult to access terrain of dissected sandstone plateaus and steep escarpments with monsoonal rainforest, hummock grassland, and tropical eucalypt woodland habitat. Primarily nocturnal, resting in caves or rocky crevices during the day. No evidence of arboreality.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"263","Macropus dorsalis","Black-striped Wallaby","Extant",0,"Mammalia","Diprotodontia","Macropodidae",11250,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Expert Opinion; Observed low sample size (1-5) foraging",1,"A grazer of low-fiber green grasses, preferring leaves to stems and culms and avoiding fibrous tussock grass species. Will consume small amounts of seeds, fruit, forbs, and some browse. Browse consumption increases during dry season.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species prefers habitats with a dense shrub understorey, including of introduced rubber vine (Cryptostegia grandiflora) and lantana. A very wary and nocturnal species. They rest the day in thick vegetation before venturing to forage, either in the dense vegetation or in more open areas. No evidence of arboreal habitat use in this species.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"264","Macropus ferragus","","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",150000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",3,3,0,"Mixed Feeder","Mixed Feeder","Expert Opinion; Observed low sample size (1-5) evidence (proxy isotopes C13)",0,"This species is listed as a grazer by Johnson and Prideaux 2004. Prideaux et al. 2007 analyze isotopes of 2 specimens whose values (-9.1, -10.2) indicate browsing. However, M. rufus, from the same study, and a definitive grazer, show browsing isotopic signatures as well. Given this lack of clarity we will classify this species as a mixed feeder, with a certainty of 0.","Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa; Prideaux et al. 2007 Nature","Foregut Non-ruminant",2,"Inferred from Genus",3,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Inferred from absence of evidence; Expert Opinion",0,"Flannery 1990 considers this a savanna species. No evidence suggested of a semi-aquatic (or arboreal) lifestyle.","Flannery 1990 Archaeology in Oceania"
"265","Macropus fuliginosus","Western Gray Kangaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",22000,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Observed fecal analysis; Observed foraging",3,"Primarily a grazer, even if grass availability is low. May eat some woody shrubs and trees, as well as forbs and chenopods, but primarily consumes grasses, particularly seeking out green grasses after rains.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species has broad habitat affinities, preferring heterogenous landscapes but occurring in mallee scrub, agricultural lands, woodland, forest, shrubland, and healthland. They are usually in proximity to surface-water. They apparently avoid areas utilized by sheep and prefer habitat with dense thickets for shelter from predators and inclement weather. No indication of aquatic habitat use in this species.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"266","Macropus giganteus","Eastern Grey Kangaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",25875,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Primarily a grazer of low-fiber high nutrient grasses, preferring leaves over stems. Grass comprises almost the entirety of diet at some sites, but less than half at others according to Wilson and Mittermeier.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"Similar to M. fuliginosus, this species has broad habitat affinities, preferring heterogenous landscapes including mallee scrub, agricultural lands, woodland, forest, shrubland, and healthland. They prefer unburnt habitat with dense thickets for shelter from predators and inclement weather. No indication of aquatic habitat use in this species.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"267","Macropus greyi","Toolache Wallaby","Extinct after 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",10000,"Method unknown",0,"Primary source inaccessible","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Expert Opinion",0,"No empirical proxy evidence found, listed as a mixed feeder by Johnson and Prideaux 2004, and as a mixed feeder preferring graze by Wilson and Mittermeier.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"Described in EltonTraits as a terrestrial species, yet historical accounts indicate that this species was dependent on marshland habitats, their draining was the likely the cause of their extinction. However, given that this would not be evident for fossil taxa, we are going to list this species as terrestrial.","Wilman et al. 2014 Ecology; Robinson and Young 1983 Department of Environment and Planning"
"268","Macropus parryi","Whiptail Wallaby","Extant",0,"Mammalia","Diprotodontia","Macropodidae",13500,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,1,0,"Grazer","Grazer","Expert Opinion; Observed low sample size (1-5) foraging",1,"Whiptail wallabies are primarily grazers, preferring grass leaves. However, they will also consume ferns and legumes. They are mostly free-water independent, except during severe drought.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species lives in open eucalypt forest in hilly country, preferring to spend time on steeper slopes when active during the day, moving to gentle, lower slopes during night foraging. No indication of aquatic (or arboreal) habitat use.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"269","Macropus pearsoni","","Extinct before 1500 CE",0,"Mammalia","Diprotodontia","Macropodidae",150000,"Method unknown",0,"Primary source inaccessible","Johnson and Prideaux 2004 Austral Ecology",3,0,0,"Grazer","Grazer","Expert Opinion",0,"Johnson and Prideaux 2004, in their summary paper, list this species as a grazer. No clear indication of their method. No additional data found.","Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa","Foregut Non-ruminant",2,"Inferred from Genus",3,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica","Digitigrade","Observed Genus",3,"","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Inferred from absence of evidence",0,"Considered a savanna denizen. No details on aquatic habits.","Johnson and Prideaux 2004 Austral Ecology; Dawson 2006 Alcheringa"
"270","Macropus robustus","Common Wallaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",21262.5,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging; Proxy isotopes (C13)",3,"Telfer and Bowman find mixed feeding with preference for grass in this species, with grass consumption ~75% on average. Likewise, Creese et al. 2019 found that grasses comprised 72-78% of their diet. According to Wilson and Mittermeier, this species prefers leaves of low-fiber, high-nitrogen grasses, but also will consume small quantities of chenopods, shrubs of Malvaceae, forbs, sedges, reeds, and browse. Has been observed entering shallow water to consume aquatic vegetation.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Telfer and Bowman 2006 Austral Ecology; Creese et al. 2019 Australian Mammalogy","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"The common wallaroo occurs across Australia in a diversity of habitats, however, prefer to be close to rocky escarpments and complex terrain adjacent to open feeding areas. Although largely  free-water independent, they are described as digging wells to groundwater in creek beds. No indication of aquatic or arboreal habitat use.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"271","Macropus rufogriseus","Red-necked Wallaby","Extant",0,"Mammalia","Diprotodontia","Macropodidae",16850,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",2,3,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Green et al. 2014 in the Snowy Mountains and in Tasmania documented a diet of ~70% dicots (~40 of which were herbaceous forbs), 40% grasses (including sedges). This aligns with Wilson and Mittermeier's classification as mixed feeder. In their review they find that in low elevation areas they are selective grazers and catholic consumers of forbs. In high elevation zones, however, they primarily consume woody browse.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World; Green et al. 2015 Australian Mammalogy","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"This species occurs from coastal heath and shrubland up to sclerophyllous forest and woodland at the winter snowline. Forages in open grassy patches adjacent to dense shrub cover. No indication of aquatic or arboreal habitat use.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"272","Macropus rufus","Red Kangaroo","Extant",0,"Mammalia","Diprotodontia","Macropodidae",46250,"Extant species (method unknown, presume measured)",0,"","Smith et al. 2003 Ecology",3,2,0,"Mixed Feeder","Mixed Feeder","Observed fecal analysis; Observed foraging",3,"Primarily a grazer, but forbs can also be heavily consumed, comprising 38-99% of diet. Among shrubs, they show preference for shrubs of Solanceae and Malvaceae, while avoiding chenopods and trees.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World","Foregut Non-ruminant",2,"Inferred from Family",2,"Kangaroos posssess foregut fermentation systems, but instead of them being divided into sacs, they are linear and have higher throughputs - comparable in function to hindgut colon fermentation in fact. Thus this system maximizes material flow and rate of fermentation at the expense of cell wall digestion. The implications of this is that food intake rates are less limited in macropods than in ruminants when foraging high fiber foods: as forage quality decreases ruminants reduce consumption rate (because they require longer fermentation times on high fiber foods), whereas macropod intake rate remains more or less constant.","Hume 2002 Acta Zoologica Sinica; Dawson et al. 1989 Fauna of Australia","Digitigrade","Observed Genus",3,"Kubo et al. 2019 report plantigrade, which is true while foraging/standing. But when running Macropus are digitigrade (Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B )","Kram and Dawson 1998 Comparative Biochemistry and Physiology Part B",0,1,0,"Terrestrial","Observed habitat use",3,"The largest extant kangaroo species, red kangaroos dwell in arid to semi-arid areas across central Australia to the western coast. They prefer open, flat topographies and lives in a variety of vegetation communities, preferring open understories of short grass and forbs, avoiding tallgrass. Free-water dependent, but can go days without drinking. No evidence of aquatic or arboreal habitat use.","Wilson and Mittermeier 2015 Handbook of the Mammals of the World"
"273","Mammut americanum","American Mastodon","Extinct before 1500 CE",0,"Mammalia","Proboscidea","Mammutidae",8e+06,"Proxy allometric relationship (shoulder height)",2,"","Larramendi 2015 Acta Palaeontologica Polonica",1,3,0,"Browser","Browser","Observed dental bolus; Proxy dental wear (microwear); Proxy isotopes (C13, O18)",3,"Dental microwear suggests mostly a browser, but in some populations there is sign of grazing (Green et al. 2017). Supported by Rivals et al. 2012 - of 21 dental boluses, all contained woody vegetation: Picea spp, Pinus spp, Salix spp, Populus spp, and Alnus. Bravo-Cuevas et al. 2017 found isotopic evidence showing a strong C3 diet of browse in central Mexico.","Green et al. 2017 Palaeogeography, Palaeoclimatology, Palaecology; Rivals et al. 2012 Quaternary International; Teale and Miller 2012 Quaternary Research; Bravo Cuevas et al. 2017 Palaeogeography, Palaeoclimatology, Palaeoecology","Hindgut Colon",1,"Inferred from Family",2,"Hindgut colon fermenting species sacrifice fermentation efficiency (e.g. completeness) for rate of passage. Cell-walls are only partially digested, but without the chokepoint provided by the rumen, they can continually consume vegetation thus meeting their nutrient demands. As such they are also able to consume lower-quality vegetation.","Hume 2002 Acta Zoologica Sinica","Plantigrade","Inferred from Family",2,"","Kubo et al. 2019 PNAS",0,1,0,"Terrestrial","Inferred from Genus",0,"Extant relatives and diet suggest a terrestrial habit, with only opportunistic use of aquatic environments.",""
