Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Aquatic,Substrate.Terrestrial,Substrate.Arboreal,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes,Island.Endemicity,IUCN.Status.1.2,Substrate.Cat,LogMassKg,LogMassKg.cat,LogMassKg.cat.label,GuildSimple,full.FE,simple.FE
Candiacervus_rethymnensis,NA,yes,Cetartiodactyla,Cervidae,221490,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),"Candiacervus_cretensis 000 The paper apparently groups Candiacervus_dorothensis and Candiacervus_major. Here, masses are given based on the minimum and maximum respectively",Hellenic Journal of Geosciences 41: 127-140 (2006),mixed feeder,3,3,0,Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,2.345354123,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUte_GUmi,Ll4_Fru_Gmi
Candiacervus_ropalophorus,NA,yes,Cetartiodactyla,Cervidae,29922.6,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,mixed feeder,3,3,0,Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,1.475999327,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Candiacervus_spII,NA,yes,Cetartiodactyla,Cervidae,42589.4,Assumed isometric based on metacarpal length,Hellenic Journal of Geosciences 41: 127-140 (2006),Candiacervus_cretensis,Hellenic Journal of Geosciences 41: 127-140 (2006),mixed feeder,3,3,0,Estimated Expert Species,"Vos;, J. D. A. V. D. G. (2). (2002). Major Patterns and Processes in Biodiversityâ€¯: taxonomic diversity on islands explained in terms of sympatric speciation. World Islands in Prehistory, International Insular Investigations, V Deia International Conference of Prehistory., (1), 395â€“405.; Caloi, L., & Palombo, M. R. (1995). Functional aspects and ecologicalimplications in Pleistocene endemic cervids of Sardinia, Sicily and Crete. Geobios, 28(2), 247â€“258. https://doi.org/10.1016/S0016-6995(95)80231-2",,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",van der Geer et al. (2006) suggested that this genus was a stocky goat-like rocky hillside herbivore based on body morphometrics,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,1.629301522,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Capreolus_capreolus,NA,yes,Cetartiodactyla,Cervidae,22500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,2,2,0,0,Solitary/pairs,"Roe deer do form congregate now and then (especially in fields). However, as solitary behaviour seems to be the most common we will call the species solitary",1,,,,,NA,Occurs on mainland,LC,terrestrial,1.352182518,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Capreolus_miyakoensis,NA,yes,Cetartiodactyla,Cervidae,24099.3,Assumed isometric based on bone size,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",Capreolus_pygargus,"Zhen B, Hasegawa Y Capreolus remains, its systematics and paleo-biological problem of Pinza-Azu Cave, Miyako Island, Okinawa, Japan. In: Okinawa Prefectural Board of Education (ed.). Pinza-Abu: Report on excavation of the Pinza-Abu Cave. Okinawa Prefectural Board of Education, Naha, pp. 33-73 (1985)",browser,0,3,0,Imputed,No data found,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,1.382004428,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Capreolus_pygargus,NA,yes,Cetartiodactyla,Cervidae,43752.2,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,See Capreolus capreolus,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.640999896,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Cervalces_scotti,NA,yes,Cetartiodactyla,Cervidae,632000,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,0,3,0,Estimated Expert Species,"Geist, V. (1998). Deer of the world: their evolution, behaviour, and ecology. Stackpole books.",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,1,1,0,"1, 104, Breda et al. 2005",NA,Mouth,Breda 2008,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,0,0,0,0,Solitary/pair,Inferred from fossil frequency and distribution relative to other species,Breda 2008,,,,,NA,Occurs on mainland,EP,semi.aquatic,2.800717078,"(2.56,2.95]",L5,browser,FOun_LOl5_FEru_SUaq_GUbr,Ll5_Fru_Gbr
Cervus_albirostris,NA,yes,Cetartiodactyla,Cervidae,125000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,2.096910013,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Cervus_astylodon,NA,yes,Cetartiodactyla,Cervidae,18492.7,Reported,Global Ecology and Biogeography 19: 475-484 (2010),NA,NA,mixed feeder,2,3,0,Estimated Isotopes (C13) + Dental wear (mesowear) Species,"Kubo, M. O., Yamada, E., Fujita, M., & Oshiro, I. (2015). Paleoecological reconstruction of Late Pleistocene deer from the Ryukyu Islands, Japan: Combined evidence of mesowear and stable isotope analyses. Palaeogeography, Palaeoclimatology, Palaeoecology, 435, 159â€“166. https://doi.org/10.1016/J.PALAEO.2015.06.001",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,inferred,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,NA,NA,NA,NA,NA,NA,NA,,,,,"Very long lived, likely due to absence of predators (Kubo et al. 2011)",Occurs only on isolated islands,EP,terrestrial,1.267000324,"[1,1.39]",L1,mixed feeder,FOun_LOl1_FEru_SUte_GUmi,Ll1_Fru_Gmi
Cervus_canadensis,NA,yes,Cetartiodactyla,Cervidae,131250,Reported,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Mega-groups,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,2.118099312,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Cervus_elaphus,NA,yes,Cetartiodactyla,Cervidae,131250,Reported,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,2.118099312,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Cervus_nippon,NA,yes,Cetartiodactyla,Cervidae,53000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.72427587,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Dama_dama,NA,yes,Cetartiodactyla,Cervidae,56250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.750122527,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Dama_mesopotamica,NA,yes,Cetartiodactyla,Cervidae,72500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,0,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,EN,terrestrial,1.860338007,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Dicroceros_spA,NA,yes,Cetartiodactyla,Cervidae,11122.3,Assumed isometric based on shoulder height,Information kindly provided by Mugino Kubo The University of Tokyo,Candiacervus_cretensis,Hellenic Journal of Geosciences 41: 127-140 (2006),browser,1,3,0,Estimated Isotopes (C13) + Dental wear (mesowear) Species,"Kubo, M. O., Yamada, E., Fujita, M., & Oshiro, I. (2015). Paleoecological reconstruction of Late Pleistocene deer from the Ryukyu Islands, Japan: Combined evidence of mesowear and stable isotope analyses. Palaeogeography, Palaeoclimatology, Palaeoecology, 435, 159â€“166. https://doi.org/10.1016/J.PALAEO.2015.06.001",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,inferred,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs only on isolated islands,EP,terrestrial,1.046194605,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Elaphodus_cephalophus,NA,yes,Cetartiodactyla,Cervidae,33500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,NT,terrestrial,1.525044807,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
Elaphurus_davidianus,NA,yes,Cetartiodactyla,Cervidae,149000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,uncertain. Very little info is available about the diet,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,1,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,EW,semi.aquatic,2.173186268,"(2.17,2.56]",L4,mixed feeder,FOun_LOl4_FEru_SUaq_GUmi,Ll4_Fru_Gmi
Haploidoceros_mediterraneus,NA,yes,Cetartiodactyla,Cervidae,78798.2,Imputed,PHYLACINE 1.2,NA,NA,mixed feeder,2,3,0,Estimated Craniodental + Dental wear (mesowear + microwear) Species,"Rivals, F., Sanz, M., & Daura, J. (2016). First reconstruction of the dietary traits of the Mediterranean deer (Haploidoceros mediterraneus) from the Cova del Rinoceront (NE Iberian Peninsula). Palaeogeography, Palaeoclimatology, Palaeoecology, 449, 101â€“107. https://doi.org/10.1016/J.PALAEO.2016.02.014",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,inferred,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.896516297,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Hippocamelus_antisensis,NA,yes,Cetartiodactyla,Cervidae,68599.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,2,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.836320317,"(1.78,2.17]",L3,mixed feeder,FOun_LOl3_FEru_SUte_GUmi,Ll3_Fru_Gmi
Hippocamelus_bisulcus,NA,yes,Cetartiodactyla,Cervidae,70000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,1,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,EN,terrestrial,1.845099901,"(1.78,2.17]",L3,browser,FOun_LOl3_FEru_SUte_GUbr,Ll3_Fru_Gbr
Hydropotes_inermis,NA,yes,Cetartiodactyla,Cervidae,14000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,2,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.146128036,"[1,1.39]",L1,mixed feeder,FOun_LOl1_FEru_SUte_GUmi,Ll1_Fru_Gmi
Mazama_americana,NA,yes,Cetartiodactyla,Cervidae,22799.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,DD,terrestrial,1.357929133,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_bororo,NA,yes,Cetartiodactyla,Cervidae,25000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.397940009,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Mazama_bricenii,NA,yes,Cetartiodactyla,Cervidae,16499.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Imputed,NA,Handbook of the mammals of the world (source 1) says nothing it know but diet must be similar to that of other Mazam species.,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.217481312,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_chunyi,NA,yes,Cetartiodactyla,Cervidae,16499.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.217481312,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_gouazoubira,NA,yes,Cetartiodactyla,Cervidae,16300.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,2,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.212190269,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_nana,NA,yes,Cetartiodactyla,Cervidae,16499.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Imputed,NA,Handbook of the mammals of the world (source 1) says nothing it know but diet must be similar to that of other Mazam species.,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.217481312,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_nemorivaga,NA,yes,Cetartiodactyla,Cervidae,15000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.176091259,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_pandora,NA,yes,Cetartiodactyla,Cervidae,21000,Reported,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,0,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.322219295,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Mazama_rufina,NA,yes,Cetartiodactyla,Cervidae,25999.8,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,VU,terrestrial,1.414970007,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Mazama_temama,NA,yes,Cetartiodactyla,Cervidae,25000,Reported,"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,browser,0,3,0,Estimated,"1,26",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Genus,2,3,0,0,Solitary/pairs,NA,1,,,,,NA,Occurs on mainland,DD,terrestrial,1.397940009,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Megaceroides_algericus,NA,yes,Cetartiodactyla,Cervidae,8.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,0,3,0,Estimated Craniodental Species,"Abbazzi, L. (2004). Remarks on the validity of the generic name Praemegaceros Portis 1920, and an overview on Praemegaceros species in Italy. Rendiconti Lincei, 9(15), 115â€“132. Retrieved from https://link.springer.com/content/pdf/10.1007%2FBF02904712.pdf",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,1,1,0,"1, 104, Croitor 2016, Geobios 748",Considered semi/periaquatic due to morphological similarity to Elaphurus davidianus and tooth morphology,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,semi.aquatic,2.903089987,"(2.56,2.95]",L5,browser,FOun_LOl5_FEru_SUaq_GUbr,Ll5_Fru_Gbr
Megaloceros_giganteus,NA,yes,Cetartiodactyla,Cervidae,699842,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,2,0,Estimated Isotopes (C13+018) Species,"Chritz, K. L., Dyke, G. J., Zazzo, A., Lister, A. M., Monaghan, N. T., & Sigwart, J. D. (2009). Palaeobiology of an extinct Ice Age mammal: Stable isotope and cementum analysis of giant deer teeth. Palaeogeography, Palaeoclimatology, Palaeoecology, 282(1â€“4), 133â€“144. https://doi.org/10.1016/J.PALAEO.2009.08.018",Tooth enamel isotopes,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,inferred,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.845000002,"(2.56,2.95]",L5,mixed feeder,FOun_LOl5_FEru_SUte_GUmi,Ll5_Fru_Gmi
Morenelaphus_brachyceros,NA,yes,Cetartiodactyla,Cervidae,50000,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,2,0,Estimated Dental wear (microwear) Genus,"Rotti, A., Mothe, D., dos Santos Avilla, L., & Semprebon, G. M. (2018). Diet reconstruction for an extinct deer (Cervidae: Cetartiodactyla) from the Quaternary of South America. Palaeogeography, Palaeoclimatology, Palaeoecology, 497, 244â€“252. https://doi.org/10.1016/J.PALAEO.2018.02.026",Genus-level results only. Mixed feeder on the grazing end of the spectrum,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,2-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.698970004,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
