Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Foraging.Aquatic,Foraging.Terrestrial,Foraging.Arboreal,Foraging.Stratum.Source,Foraging.Stratum.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes
Kobus_ellipsiprymnus,NA,yes,Cetartiodactyla,Bovidae,210000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Kobus_kob,NA,yes,Cetartiodactyla,Bovidae,78500.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Kobus_leche,NA,yes,Cetartiodactyla,Bovidae,110749,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,0,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,1,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,"Hempson and the handbook of the mammals of the world deviate here.Hempson says it forms megagroups, while the handbook states it forms smaller groups",11,,,,,NA
Kobus_megaceros,NA,yes,Cetartiodactyla,Bovidae,87500.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,0,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,11,,,,,NA
Kobus_vardonii,NA,yes,Cetartiodactyla,Bovidae,71500.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,Gregarious,NA,11,,,,,NA
Litocranius_walleri,NA,yes,Cetartiodactyla,Bovidae,37999.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Megalotragus_priscus,NA,yes,Cetartiodactyla,Bovidae,2.00E+05,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Isotopes (C13+018) Species,"Codron, D., Brink, J. S., Rossouw, L., & Clauss, M. (2008). The evolution of ecological specialization in southern African ungulates: competition- or physical environmental turnover? Oikos, 117(3), 344â€“353. https://doi.org/10.1111/j.2007.0030-1299.16387.x",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Megalovis_guangxiensis,NA,yes,Cetartiodactyla,Bovidae,70060.2,Imputed,PHYLACINE 1.2,NA,NA,mixed feeder,3,3,0,Estimated Expert Species,"Teague, R. L. (2009). THE ECOLOGICAL CONTEXT OF THE EARLY PLEISTOCENE HOMININ DISPERSAL TO ASIA. Retrieved from https://search.proquest.com/docview/304879920/previewPDF/926F7EEC7D804053PQ/1?accountid=14468",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",Most likely foraged on steep cliffs,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,Likely a mountain/vertiginous animal
Myotragus_balearicus,NA,yes,Cetartiodactyla,Bovidae,26418,Reported,Philosophical Transactions fo the Royal Society of London Series B 366: 2564-2576 (2011),NA,NA,browser,0,3,0,Estimated Observed Species,"ALCOVER, J. A., PEREZ-OBIOL, R., YLL, E.-I., & BOVER, P. (1999). The diet of Myotragus balearicus Bate 1909 (Artiodactyla: Caprinae), an extinct bovid from the Balearic Islands: evidence from coprolites. Biological Journal of the Linnean Society, 66(1), 57â€“74. https://doi.org/10.1111/j.1095-8312.1999.tb01917.x",coprolites,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",Most likely foraged on steep cliffs,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,"Very strange animal - eyes pointed forward, teeth unusual and incisors did not stop growing (like a rodent), body could start and stop growth, much like a crocodile (Köhler, M., and Moyà-Sola, S, (2009), ‘Physiological and life history strategies of a fossil large mammal in a resource-limited environment’, PNAS. 106 (48) 20354-58)"
Naemorhedus_baileyi,NA,yes,Cetartiodactyla,Bovidae,27487.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,1,0,0,1,Gregarious,NA,1,,,,,NA
Naemorhedus_caudatus,NA,yes,Cetartiodactyla,Bovidae,27000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,3,2,0,0,Gregarious,NA,1,,,,,NA
Naemorhedus_goral,NA,yes,Cetartiodactyla,Bovidae,28500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,3,3,0,0,Gregarious,NA,1,,,,,NA
Naemorhedus_griseus,NA,yes,Cetartiodactyla,Bovidae,25000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,3,3,0,0,Gregarious,NA,1,,,,,NA
Nanger_dama,NA,yes,Cetartiodactyla,Bovidae,72999.5,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,"1, 11",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Nanger_granti,NA,yes,Cetartiodactyla,Bovidae,54999.7,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Nanger_soemmerringii,NA,yes,Cetartiodactyla,Bovidae,40000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,2,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Nilgiritragus_hylocrius,NA,yes,Cetartiodactyla,Bovidae,75000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,"1,32 ",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,Gregarious,NA,1,,,,,NA
Oreamnos_americanus,NA,yes,Cetartiodactyla,Bovidae,72500.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Oreamnos_harringtoni,NA,yes,Cetartiodactyla,Bovidae,75000,Reported,Ecological Archives E084-094 (2003),NA,NA,mixed feeder,3,3,0,Estimated Observed Species,"Mead, J. I., O'Rourke, M. K., & Foppe, T. M. (1986). Dung and diet of the extinct Harrington's mountain goat (Oreamnos harringtoni). Journal of Mammalogy, 67(2), 284-293.",coprolites,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,0,0,0,0,NA,NA,NA,,,,,NA
Oreotragus_oreotragus,NA,yes,Cetartiodactyla,Bovidae,12999.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,11,,,,,NA
Oryx_beisa,NA,yes,Cetartiodactyla,Bovidae,170000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,mixed feeder,3,2,0,Estimated,11,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,1,0,1,Gregarious,NA,11,,,,,NA
Oryx_dammah,NA,yes,Cetartiodactyla,Bovidae,2.00E+05,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,0,Mega-groups,NA,1,,,,,NA
Oryx_gazella,NA,yes,Cetartiodactyla,Bovidae,169001.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,2,0,2,Gregarious,NA,11,well-digging,,,Hamilton et al. 1977,NA
Oryx_leucoryx,NA,yes,Cetartiodactyla,Bovidae,87700,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,2,Gregarious,NA,1,,,,,NA
Ourebia_ourebi,NA,yes,Cetartiodactyla,Bovidae,17250,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Ovibos_moschatus,NA,yes,Cetartiodactyla,Bovidae,340501.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Ovis_ammon,NA,yes,Cetartiodactyla,Bovidae,180000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Ovis_aries,Ovis_orientalis,yes,Cetartiodactyla,Bovidae,39097,Reported,"Jones, K.E., et al. 2009. PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals. Ecology 90:2648.",NA,NA,mixed feeder,3,2,0,Estimated,"1,35","According to the Handbook of the mammals of the world, O. orientalis is a hybrid between O. gmelini and O.cycloceros. The diet is based on the description for both species",Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,3,0,0,0,Gregarious,NA,The source sees this species a hybrid. Based on O. cycloceros,,,,,NA
Ovis_canadensis,NA,yes,Cetartiodactyla,Bovidae,74644.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Ovis_dalli,NA,yes,Cetartiodactyla,Bovidae,55650.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Ovis_nivicola,NA,yes,Cetartiodactyla,Bovidae,90000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Ovis_orientalis,NA,yes,Cetartiodactyla,Bovidae,60000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,2,0,Estimated,"1,35","According to the Handbook of the mammals of the world, O. orientalis is a hybrid between O. gmelini and O.cycloceros. The diet is based on the description for both species",Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Genus,3,0,0,0,Gregarious,NA,The source sees this species a hybrid. Based on O. cycloceros,,,,,NA
Pantholops_hodgsonii,NA,yes,Cetartiodactyla,Bovidae,27500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Pelea_capreolus,NA,yes,Cetartiodactyla,Bovidae,20000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,1,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,1,0,0,1,Gregarious,NA,11,,,,,NA
Pelorovis_antiquus,NA,yes,Cetartiodactyla,Bovidae,1.00E+06,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Isotopes (C13+018) Species,"Garrett, N. D., Fox, D. L., McNulty, K. P., Faith, J. T., Peppe, D. J., Van Plantinga, A., & Tryon, C. A. (2015). Stable isotope paleoecology of Late Pleistocene Middle Stone Age humans from the Lake Victoria basin, Kenya. Journal of Human Evolution, 82, 1â€“14. https://doi.org/10.1016/J.JHEVOL.2014.10.005",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Philantomba_maxwellii,NA,yes,Cetartiodactyla,Bovidae,12000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,1,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,3,3,0,0,Solitary/pairs,NA,11,,,,,NA
Procapra_gutturosa,NA,yes,Cetartiodactyla,Bovidae,27750,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Mega-groups,NA,1,,,,,NA
Procapra_picticaudata,NA,yes,Cetartiodactyla,Bovidae,20000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,1,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Procapra_przewalskii,NA,yes,Cetartiodactyla,Bovidae,27500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Pseudois_nayaur,NA,yes,Cetartiodactyla,Bovidae,45000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Pseudoryx_nghetinhensis,NA,yes,Cetartiodactyla,Bovidae,85000,Reported,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,1,,,,,NA
Raphicerus_campestris,NA,yes,Cetartiodactyla,Bovidae,10500,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,"1, 11",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,11,,,,,NA
Raphicerus_melanotis,NA,yes,Cetartiodactyla,Bovidae,10249.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,0,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,11,,,,,NA
Redunca_arundinum,NA,yes,Cetartiodactyla,Bovidae,58000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Solitary/pairs,NA,11,,,,,NA
Redunca_fulvorufula,NA,yes,Cetartiodactyla,Bovidae,29499.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Redunca_redunca,NA,yes,Cetartiodactyla,Bovidae,44050.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,0,0,Estimated,1,"Info lacking, but handbook of the mammals of the world says it is a grazer",Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA
Rupicapra_pyrenaica,NA,yes,Cetartiodactyla,Bovidae,30000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rupicapra_rupicapra,NA,yes,Cetartiodactyla,Bovidae,26100,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Rusingoryx_atopocranion,NA,yes,Cetartiodactyla,Bovidae,150000,Reported,"Palaeogeography, Palaeoclimatology, Palaeoecology 361-362: 84-93 (2012)",NA,NA,grazer,3,0,0,Estimated Isotopes (C13+018) Species,"Garrett, N. D., Fox, D. L., McNulty, K. P., Faith, J. T., Peppe, D. J., Van Plantinga, A., & Tryon, C. A. (2015). Stable isotope paleoecology of Late Pleistocene Middle Stone Age humans from the Lake Victoria basin, Kenya. Journal of Human Evolution, 82, 1â€“14. https://doi.org/10.1016/J.JHEVOL.2014.10.005",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
Saiga_tatarica,NA,yes,Cetartiodactyla,Bovidae,29000,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,2,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Proboscis for thermoregulation,Breda 2008,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA
Sivacobus_sankaliai,NA,yes,Cetartiodactyla,Bovidae,54918.8,Imputed,PHYLACINE 1.2,NA,NA,grazer,3,1,0,Imputed,No data found,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA
