Binomial.1.2,Mass.Source.Formatted,Mass.Source.Original,Mass.Comparison.Source.Formatted,Mass.Comparison.Source.Original,Browsing.Grazing.Source.Formatted,Browsing.Grazing.Method,Browsing.Grazing.Notes,Browsing.Grazing.Source.Original,Fermentation.Type.Source.Formatted,Fermentation.Type.Source.Original,Substrate.Source.Formatted,Substrate.Source.Original,Food.Handling.Source.Formatted,Food.Handling.Source.Original,Foot.Type.Source.Formatted,Foot.Type.Source.Original,Herd.Size.Source.Formatted,Herd.Size.Source.Original,Digging.Rooting.Source.Formatted,Digging.Rooting.Source.Original,k_medoid_herbivore,Mass.Method,Mass.Comparison,Fermentation.Type.Method,Fermentation.Type.Notes,Substrate.Notes,Food.Handling,Food.Handling.Notes,Foot.Type.Coarse,Foot.Type.Notes,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Other.Notes
Mazama_chunyi,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Mazama_gouazoubira,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,2,3,0,0,Solitary/pairs,NA,,,,NA
Muntiacus_atherodes,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,"I suspect the grazing to be a minor fraction of the diet. However, as the text does not differentiate we assign it to be a primary diet",1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,0,Solitary/pairs,NA,,,,NA
Rucervus_eldii,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,2,0,0,Solitary/pairs,NA,,,,NA
Alces_alces,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",Breda 2008 Journal of Vertebrate Paleontology,Breda 2008,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Pre-hensile lip,,hoofed,2-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Saiga_tatarica,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",Breda 2008 Journal of Vertebrate Paleontology,Breda 2008,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Proboscis for thermoregulation,,hoofed,two-toed unguligrade,0,0,0,0,Gregarious,NA,,,,NA
Potamochoerus_larvatus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,3,Gregarious,NA,rooting,,,NA
Potamochoerus_porcus,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,2,0,3,Gregarious,NA,rooting,,,NA
Hippopotamus_amphibius,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hume 2002 Acta Zoologica Sinica,"1,2",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,0,0,0,Gregarious,NA,,,,NA
Catagonus_wagneri,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hume 2002 Acta Zoologica Sinica,"1,2",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,2,0,0,2,Gregarious,NA,rooting,,,NA
Pecari_tajacu,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hume 2002 Acta Zoologica Sinica,"1,2",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,3,Gregarious,NA,rooting,,,NA
Tayassu_pecari,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hume 2002 Acta Zoologica Sinica,"1,2",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Mega-groups,NA,rooting,,,NA
Choeropsis_liberiensis,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Hume 2002 Acta Zoologica Sinica,"1,2",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Family,Reported morphology Family,Hempson et al. 2015 Science,11,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,soft,,0,3,0,0,Solitary/pairs,NA,,,,NA
Babyrousa_babyrussa,Smith et al. 2003 Ecology,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Leus et al. 1999 Comptes Rendus de lAcademie des Sciences; Meijaard et al. 2011 Suidae,"1,6, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Genus,Babyrousa are a group of suids that seem to have retained an archaic form of FG fermentation,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Moschus_fuscus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,Uncertain. Little information available,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Muntiacus_rooseveltorum,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Assumed isometric based on shoulder height,Muntiacus_truongsonensis,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Bubalus_bubalis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; IUCN Red List,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,2,0,0,Gregarious,NA,,,,NA
Muntiacus_vuquangensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,"handbook of mammals of the world says the species is virtually unstudied, but they suspect it is solitary",,,,NA
Pseudoryx_nghetinhensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Capricornis_thar,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Aryal 2009 Tiger Paper,89,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Muntiacus_putaoensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Muntiacus_truongsonensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Extrapolated Genus,extrapolated.genus.mode,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Moschus_cupreus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,Assumed similar to M. leucogaster,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Extrapolated Proxy,Extrapolated Proxy,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Solitary/pairs,handbook of the mammals (source 1) of the world assumes it is similar to M. leucogaster,,,,NA
Capricornis_milneedwardsii,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Thuc et al. 2014 Pacific Conservation Biology,88,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Bos_mutus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,0,0,0,Mega-groups,NA,,,,NA
Bubalus_arnee,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology; IUCN Red List,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,0,2,0,0,Gregarious,NA,,,,NA
Mazama_bororo,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Mazama_nemorivaga,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,0,Solitary/pairs,NA,,,,NA
Moschus_leucogaster,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,0,0,0,Solitary/pairs,NA,,,,NA
Naemorhedus_griseus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Reported morphology Genus,Reported morphology Genus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,NA,,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,two-toed unguligrade,3,3,0,0,Gregarious,NA,,,,NA
Sus_barbatus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,NA,rooting,,,NA
Sus_cebifrons,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,NA,rooting,,,NA
Sus_verrucosus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,Handbook of the mammals of the world assumes it is similar to S. scrofa,1,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,3,3,0,3,Gregarious,NA,rooting,,,NA
Sus_celebensis,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson DE, Mittermeier RA. Handbook of the Mammals of the World - Volume 2 (2011)",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1B,Hume 2002 Acta Zoologica Sinica; Meijaard et al. 2011 Suidae,"2, Meijaard, E., Oliver, W. L. R., & d’Huart, J. P. (2011). Suidae. Handbook of the mammals of the world, 2, 248-291.",Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Wilman et al. 2014 Ecology,"1, 104",NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1B,yes,Reported,NA,Reported Family,NA,NA,Mouth,,hoofed,2-toed unguligrade,0,3,0,3,Gregarious,"handbook of mammals of the world it is not sure whether the species is solitary or gregarious, though they suspect the latter",rooting,,,NA
Loxodonta_africana,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilman et al. 2014 Ecology,EltonTraits1.0,NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Hempson et al. 2015 Science,11,Wilson and Mittermeier 2011 Handbook of the Mammals of the World; Payne 1999 New York Simon and Schuster,1; Payne 1999,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,0,3,0,3,Gregarious,NA,Rooting; well-digging,,,NA
Elephas_maximus,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.",NA,NA,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,Estimated,NA,1,Hume 2002 Acta Zoologica Sinica,2,Wilman et al. 2014 Ecology,EltonTraits1.0,NA,NA,Kubo et al. 2019 PNAS,Kubo et al. 2019,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,Wilson and Mittermeier 2011 Handbook of the Mammals of the World,1,yes,Reported,NA,Reported Family,NA,NA,Proboscis,,soft,,0,3,0,3,Gregarious,NA,Rooting,,,NA
